cod;cidade;designacao;arquivo_origem;mes;ano;RCPJ;RCPN;IT;RI;RTD;Notas;Protesto;Emolumentos;Funarpem;Gratuitos;Total;gestor;cargo
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2024_12.pdf;12;2024;0;0.0;0;0;0.0;9.122.378,00;4.162.261,00;13.030.408,00;0.0;254.231;13.284.639,00;MICHELLE MARQUES FERREIRA FONSECA;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_01.pdf;1;2025;0;0.0;0;0;0.0;6.679.943,00;6.334.291,00;12.769.658,00;0.0;244.576;13.014.234,00;MICHELLE MARQUES FERREIRA FONSECA;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_02.pdf;2;2025;0;0.0;0;0;0.0;661.543;5.237.078,00;11.631.339,00;0.0;221.169;11.852.508,00;MICHELLE MARQUES FERREIRA FONSECA;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_03.pdf;3;2025;0;0.0;0;0;0.0;6.769.461,00;5.872.435,00;12.336.167,00;0.0;305.729;12.641.896,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_06.pdf;6;2025;0;0.0;0;0;0.0;7.674.916,00;6.933.521,00;1.419.662,00;0.0;411.817;14.608.437,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_07.pdf;7;2025;0;0.0;0;0;0.0;7.972.224,00;1.295.548,00;0;0.0;0.0;20.927.704,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_08.pdf;8;2025;0;0.0;0;0;0.0;5.379.705,00;9.465.081,00;0;0.0;0.0;14.844.786,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_09.pdf;9;2025;0;0.0;0;0;0.0;83.287;8.371.528,00;16.252.124,00;0.0;448.104;16.700.228,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
15080;ANGRA DOS REIS;1O TABELIONATO DE NOTAS E PROTESTOS;2025_10.pdf;10;2025;0;0.0;0;0;0.0;636.832;7.234.351,00;13.261.856,00;0.0;340.815;13.602.671,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2024_09.pdf;9;2024;404.938;1.139.145,00;1.711.146,00;5.630.974,00;37321.0;0;0;10.905.378,00;8.118.047,00;152.404;19.175.829,00;FABIOLA IGNEZ DE CASTRO EUGENIO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2024_10.pdf;10;2024;6.5152;10.576.444,00;2.087.304,00;6.737.868,00;169.201;0;0;13.103.728,00;6.928.806,00;189.803;20.222.337,00;FABIOLA IGNEZ DE CASTRO EUGENIO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2024_11.pdf;11;2024;504.475;11.874.769,00;1.306.191,00;4.943.111,00;159.205;0;0;1.009.857,00;8.554.127,00;135.054;18.787.751,00;FABIOLA IGNEZ DE CASTRO EUGENIO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2024_12.pdf;12;2024;2.4432;9.407.253,00;1.685.258,00;1.198.361,00;1.729.496,00;0;0;18.714.735,00;6.028.161,00;307.041;25.049.937,00;FABIOLA IGNEZ DE CASTRO EUGENIO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_01.pdf;1;2025;286.956;9.546.872,00;1.109.007,00;1.024.042,00;117.887;0;0;15.074.214,00;5.996.694,00;230.234;21.301.142,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_02.pdf;2;2025;6.2996;9.958.473,00;2.065.022,00;975.303;161.587;0;0;16.140.955,00;6.180.366,00;246.751;22.568.072,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_03.pdf;3;2025;386.215;9.504.107,00;147.196;18.683.438,00;175.781;0;0;2.315.145,00;6.665.198,00;404.853;30.221.501,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_06.pdf;6;2025;686.934;11.137.926,00;161.779;5.375.138,00;0.0;0;0;11.237.957,00;7.430.014,00;149.817;18.817.788,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_07.pdf;7;2025;722.032;10.815.869,00;1.669.356,00;8.887.896,00;240.597;0;0;15.900.941,00;6.209.135,00;225.674;2.233.575,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_08.pdf;8;2025;605.451;11.268.866,00;1.180.062,00;7.031.792,00;33780.0;0;0;12.516.291,00;7.430.201,00;173.459;20.119.951,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_09.pdf;9;2025;609.025;11.139.329,00;1.236.507,00;7.641.305,00;77738.0;0;0;13.321.835,00;7.194.997,00;187.072;20.703.904,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1443;ANGRA DOS REIS;RCPN 01 DISTR;2025_10.pdf;10;2025;921.853;12.982.948,00;1.576.802,00;9.242.052,00;114.542;0;0;15.872.669,00;8.733.431,00;232.097;24.838.197,00;MATHEUS FARIA CARNEIRO;Responsável pelo Expediente
1449;ANGRA DOS REIS;RCPN 02 DISTR;2024_09.pdf;9;2024;0;6.410.835,00;0;0;0.0;9.030.762,00;0;11.394.575,00;3.828.466,00;218.556;15.441.597,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2024_10.pdf;10;2024;0;624.467;0;0;0.0;16.288.191,00;0;18.293.619,00;3.912.228,00;327.014;22.532.861,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2024_11.pdf;11;2024;0;6.483.157,00;0;0;0.0;8.430.128,00;0;10.710.731,00;403.989;162.664;14.913.285,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2024_12.pdf;12;2024;0;603.426;0;0;0.0;11.802.487,00;0;14.060.023,00;354.934;227.384;17.836.747,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_01.pdf;1;2025;0;6.036.111,00;0;0;0.0;10.786.527,00;0;12.410.564,00;4.205.068,00;207.006;16.822.638,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_02.pdf;2;2025;0;4.720.732,00;0;0;0.0;8.613.245,00;0;1.029.151,00;2.869.668,00;172.799;13.333.977,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_03.pdf;3;2025;0;4.856.979,00;0;0;0.0;9.801.552,00;0;11.578.945,00;2.891.052,00;188.534;14.658.531,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_06.pdf;6;2025;0;777.971;0;0;0.0;17.538.395,00;0;19.848.312,00;51.292;340.593;25.318.105,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_07.pdf;7;2025;0;7.364.526,00;0;0;0.0;22.183.856,00;0;24.173.862,00;4.946.473,00;428.047;29.548.382,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_08.pdf;8;2025;0;8.221.717,00;0;0;0.0;19.584.528,00;0;2.208.158,00;5.345.645,00;3.7902;27.806.245,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_09.pdf;9;2025;0;9.681.906,00;0;0;0.0;17.185.476,00;0;20.182.353,00;6.350.669,00;3.3436;26.867.382,00;MATHEUS FARIA CARNEIRO;Titular
1449;ANGRA DOS REIS;RCPN 02 DISTR;2025_10.pdf;10;2025;0;9.615.385,00;0;0;0.0;18.198.245,00;0;21.767.854,00;5.692.717,00;353.059;2.781.363,00;MATHEUS FARIA CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2024_09.pdf;9;2024;0;0.0;0;6.060.135,00;0.0;15.493.801,00;6.991.901,00;27.995.115,00;0.0;550.722;28.545.837,00;GHEYSA OBERLAERDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2024_10.pdf;10;2024;0;0.0;0;3.122.869,00;0.0;23.318.936,00;7.006.646,00;32.803.474,00;0.0;644.977;33.448.451,00;GHEYSA OBERLAERDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2024_11.pdf;11;2024;0;0.0;0;1.943.481,00;0.0;1.558.173,00;5.539.169,00;22.618.979,00;0.0;445.401;2.306.438,00;GHEYSA OBERLAERDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2024_12.pdf;12;2024;0;0.0;0;1.768.375,00;0.0;20.033.007,00;6.690.491,00;27.941.335,00;0.0;550.538;28.491.873,00;GHEYSA OBERLAERDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_01.pdf;1;2025;0;0.0;0;2.450.195,00;0.0;13.171.395,00;7.526.633,00;2.270.921,00;0.0;439.013;23.148.223,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_02.pdf;2;2025;0;0.0;0;1.704.295,00;0.0;22.273.504,00;8.929.755,00;32.274.588,00;0.0;632.966;32.907.554,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_03.pdf;3;2025;0;0.0;0;2.173.418,00;0.0;14.859.971,00;11.133.043,00;27.626.606,00;0.0;539.826;28.166.432,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_06.pdf;6;2025;0;0.0;0;564.094;0.0;17.187.116,00;6.949.589,00;29.203.351,00;0.0;574.294;29.777.645,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_07.pdf;7;2025;0;0.0;0;3.822.881,00;0.0;23.583.227,00;9.300.014,00;0;0.0;0.0;36.706.122,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_08.pdf;8;2025;0;0.0;0;4.314.263,00;0.0;36.939.141,00;9.686.749,00;0;0.0;0.0;50.940.153,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_09.pdf;9;2025;0;0.0;0;21.133.712,00;0.0;19.068.087,00;12.636.717,00;51.819.965,00;0.0;1.018.551,00;52.838.516,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1823;ARARUAMA;01 OF DE JUSTICA;2025_10.pdf;10;2025;0;0.0;0;9.365.075,00;0.0;18.415.491,00;7.335.083,00;34.440.393,00;0.0;675.256;35.115.649,00;GHEYSA OBERLAENDER CARNEIRO;Titular
1826;ARARUAMA;02 OF JUSTICA;2024_09.pdf;9;2024;3.4198;0.0;0;64.096.614,00;585.334;19.832.844,00;0;8.321.276,00;0.0;1.644.012,00;84.856.772,00;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2024_10.pdf;10;2024;414.954;0.0;0;90.055.113,00;2.110.708,00;2.492.451,00;0;1.152.250,41;0.0;2.280.244,00;1.175.052,85;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2024_11.pdf;11;2024;623.492;0.0;0;68.392.441,00;2.446.042,00;20.908.119,00;0;90.589.359,00;0.0;1.780.735,00;92.370.094,00;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2024_12.pdf;12;2024;786.341;0.0;0;66.656.364,00;2.619.816,00;18.406.249,00;0;86.753.104,00;0.0;1.715.666,00;8.846.877,00;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_01.pdf;1;2025;484.203;0.0;0;71.499.921,00;1.272.385,00;20.244.407,00;0;91.688.586,00;0.0;181.233;93.500.916,00;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_02.pdf;2;2025;600.241;0.0;0;71.513.933,00;1.815.067,00;17.866.484,00;0;90.015.941,00;0.0;1.779.784,00;91.795.725,00;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_03.pdf;3;2025;600.196;0.0;0;66.298.704,00;1.127.593,00;18.305.394,00;0;84.656.796,00;0.0;1.675.091,00;86.331.887,00;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_06.pdf;6;2025;1.134.447,00;0.0;0;71.656.242,00;1.819.869,00;22.880.357,00;0;95.602.396,00;0.0;1.888.519,00;97.490.915,00;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_07.pdf;7;2025;865.898;0.0;0;89.290.224,00;2.474.631,00;27.577.181,00;0;0;0.0;0.0;1.202.079,34;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_08.pdf;8;2025;935.132;0.0;0;79.983.906,00;961.682;25.435.617,00;0;0;0.0;0.0;1.073.163,37;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_09.pdf;9;2025;1.148.234,00;0.0;0;81.872.072,00;1.463.962,00;2.154.933,00;0;1.039.824,47;0.0;2.051.151,00;1.060.335,98;DARIO PAULO DE SOUSA JUNIOR;Titular
1826;ARARUAMA;02 OF JUSTICA;2025_10.pdf;10;2025;1.036.669,00;0.0;0;90.021.578,00;893.437;23.377.747,00;0;1.130.930,92;0.0;2.236.339,00;1.153.294,31;DARIO PAULO DE SOUSA JUNIOR;Titular
1824;ARARUAMA;RCPN 01 DISTR;2024_09.pdf;9;2024;0;13.728.425,00;2.495.847,00;0;0.0;0;0;9.138.333,00;7.037.171,00;48768.0;16.224.272,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2024_10.pdf;10;2024;0;15.237.909,00;3.960.298,00;0;0.0;0;0;11.158.788,00;7.962.076,00;77343.0;19.198.207,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2024_11.pdf;11;2024;0;12.781.864,00;3.144.153,00;0;0.0;0;0;833.403;7.530.485,00;61502.0;15.926.017,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2024_12.pdf;12;2024;0;1.164.193,00;2.566.204,00;0;0.0;0;0;7.881.432,00;6.281.236,00;45466.0;14.208.134,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_01.pdf;1;2025;0;13.228.203,00;3.021.586,00;0;0.0;0;0;9.131.844,00;7.059.006,00;58939.0;16.249.789,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_02.pdf;2;2025;0;957.944;3.238.426,00;0;0.0;0;0;8.157.858,00;4.596.966,00;63042.0;12.817.866,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_03.pdf;3;2025;0;11.038.656,00;2.883.618,00;0;0.0;0;0;9.162.469,00;4.703.357,00;56448.0;13.922.274,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_06.pdf;6;2025;0;12.499.713,00;2.789.539,00;0;0.0;0;0;7.920.522,00;7.314.304,00;54426.0;15.289.252,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_07.pdf;7;2025;0;13.866.014,00;388.416;0;0.0;0;0;10.456.612,00;7.218.832,00;74730.0;17.750.174,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_08.pdf;8;2025;0;15.454.211,00;316.602;0;0.0;0;0;1.002.474,00;8.533.451,00;62040.0;18.620.231,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_09.pdf;9;2025;0;14.383.702,00;4.093.088,00;0;0.0;0;0;11.492.141,00;6.904.561,00;80088.0;1.847.679,00;EDUARDO RAMOS CORREA LUIZ;Titular
1824;ARARUAMA;RCPN 01 DISTR;2025_10.pdf;10;2025;0;1.646.279,00;3.367.494,00;0;0.0;0;0;10.808.488,00;8.955.808,00;65988.0;19.830.284,00;EDUARDO RAMOS CORREA LUIZ;Titular
1828;ARARUAMA;RCPN 03 DISTR;2024_09.pdf;9;2024;0;1.827.718,00;0;0;0.0;997.525;0;152.719;1.279.133,00;18920.0;2.825.243,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2024_10.pdf;10;2024;0;1.916.693,00;0;0;0.0;3.167.518,00;0;3.694.981,00;1.327.674,00;61556.0;5.084.211,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2024_11.pdf;11;2024;0;2.010.242,00;0;0;0.0;2.867.417,00;0;353.847;1.283.212,00;55977.0;4.877.659,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2024_12.pdf;12;2024;0;1.159.576,00;0;0;0.0;1.979.648,00;0;2.534.948,00;565.785;38491.0;3.139.224,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_01.pdf;1;2025;0;1.764.081,00;0;0;0.0;1.802.874,00;0;2.370.258,00;1.162.049,00;34648.0;3.566.955,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_02.pdf;2;2025;0;249.638;0;0;0.0;2.060.074,00;0;2.625.813,00;1.890.928,00;39713.0;4.556.454,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_03.pdf;3;2025;0;2.783.967,00;0;0;0.0;2.162.925,00;0;2.676.762,00;2.228.155,00;41975.0;4.946.892,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_06.pdf;6;2025;0;1.611.014,00;0;0;0.0;1.556.357,00;0;2.106.695,00;1.031.032,00;29644.0;3.167.371,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_07.pdf;7;2025;0;178.782;0;0;0.0;253.084;0;331.406;955.933;48667.0;431.866;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_08.pdf;8;2025;0;1.868.471,00;0;0;0.0;3.540.587,00;0;4.208.944,00;1.131.649,00;68465.0;5.409.058,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_09.pdf;9;2025;0;2.105.413,00;0;0;0.0;2.251.221,00;0;3.151.345,00;1.161.941,00;43348.0;4.356.634,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
1828;ARARUAMA;RCPN 03 DISTR;2025_10.pdf;10;2025;0;2.311.552,00;0;0;0.0;1.477.996,00;0;2.405.444,00;1.356.175,00;27929.0;3.789.548,00;FERNANDA DE REZENDE MENDONCA;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2024_09.pdf;9;2024;154.959;6.148.441,00;1.229.003,00;47.288.883,00;1.510.209,00;18.226.009,00;3.069.105,00;72.204.316,00;4.303.307,00;1.118.986,00;77.626.609,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2024_10.pdf;10;2024;243.184;6.028.571,00;713.667;55.663.376,00;690.612;9.767.592,00;4.436.781,00;73.066.266,00;3.218.393,00;1.259.124,00;77.543.783,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2024_11.pdf;11;2024;254.307;5.902.981,00;1.441.335,00;44.715.949,00;1.050.597,00;7.977.025,00;2.564.626,00;58.799.692,00;4.071.795,00;1.035.333,00;6.390.682,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2024_12.pdf;12;2024;1.136.763,00;4.925.008,00;11.6738;42.555.287,00;9.2937;960.588;2.373.616,00;58.615.116,00;302.328;1.054.908,00;62.693.304,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2025_01.pdf;1;2025;2.4183;5.854.553,00;1.033.296,00;53.524.425,00;546.435;8.877.436,00;4.188.723,00;68.781.429,00;4.238.249,00;12.4702;74.266.698,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2025_02.pdf;2;2025;192.007;6.867.912,00;1.128.468,00;85.227.182,00;1.480.794,00;11.341.135,00;6.030.127,00;1.058.740,79;4.503.938,00;1.889.608,00;1.122.676,25;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2025_03.pdf;3;2025;246.181;6.321.353,00;742.134;6.073.317,00;1.648.195,00;9.564.402,00;3.694.229,00;77.584.911,00;3.990.199,00;1.374.554,00;82.949.664,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2025_06.pdf;6;2025;358.839;5.677.168,00;921.024;69.172.447,00;1.188.509,00;11.087.474,00;3.230.126,00;8.656.849,00;3.535.446,00;1.531.651,00;91.635.587,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2025_07.pdf;7;2025;70.198;6.285.276,00;10.0737;71.427.797,00;1.267.259,00;9.078.863,00;4.926.591,00;89.057.348,00;3.399.935,00;1.606.071,00;94.063.354,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
2359;ARMACAO DOS BUZIOS;OFICIO UNICO;2025_08.pdf;8;2025;297.087;6.512.048,00;11.5128;70.858.148,00;143.282;12.065.344,00;3.912.612,00;90.772.058,00;3.877.563,00;1.579.718,00;96.229.339,00;CRISTINA DE LOURDES LOUSADA RIBEIRO;Responsável pelo Expediente
